type_of_model,mode,regression_formula,grid_size,notes,model_performance,performance_measure
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + last3possessions_per_game_A + last3possessions_per_game_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + overallfree_throw_rate_A + overallfree_throw_rate_B,5,"classification of OE, DE, avg and sd rank, possessions, free throws, strength of schedule, and cluster",0.53883158,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + last3possessions_per_game_A + last3possessions_per_game_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_by_A + avg_win_by_B + overallfree_throw_rate_A + overallfree_throw_rate_B,5,"classification of OE, DE, avg and sd rank, possessions, free throws, strength of schedule, and cluster",0.5411932,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + last3possessions_per_game_A + last3possessions_per_game_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B,5,"classification of OE, DE, avg and sd rank, possessions, free throws, strength of schedule, and cluster",0.538652719,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster",0.541864518,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster",0.543088808,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster",0.538896564,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + OE_A + OE_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster",0.558863467,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster",0.537006308,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster",0.572052345,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster",0.538405001,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster",0.55144048,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster",0.53571581,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster test",0.53812242,kaggle
random_forest,regression,~win_byrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster",11.45672952,rmse
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B,50,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster larger grid",0.559576517,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B,50,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster tune more grid",0.53936072,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster 5 grid and 3 to tune",0.538981181,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + rank_sd_A + rank_sd_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster, and dr recomendations",0.537982605,kaggle
random_forest,classification,~winrpi_A + bpi_A + bpi_B + bpi_A,5,saw this one in the notes,0.666517721,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster, and dr recomendations",0.538535956,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster, and dr recomendations unbreaking",0.538535956,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster, and dr recomendations unbreakin",0.539107157,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster, and dr recomendations and good wins",0.538481171,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster, and dr recomendations and good wins and conf",0.538481171,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins + conf_loss,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster, and dr recomendations and good wins and conf",0.534198446,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins + conf_loss,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster, and dr recomendations and good wins and conf with interaction",0.534198446,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins + conf_loss,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster, and dr recomendations and good wins and conf with interactions",0.532301203,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins + conf_loss,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster, 
                               and dr recomendations and good wins and conf - goodwins/badwins interaction",0.536156383,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins + conf_loss,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster, 
                               and dr recomendations and good wins and conf - goodwins/badwins interaction alt",0.536156383,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster, 
                               and dr recomendations and good wins and conf - goodwins/badwins interaction alt",0.534209675,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A + MOR_A + MOR_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster, 
                               and dr recomendations and good wins and conf - goodwins/badwins interaction, updated rankings",0.556111451,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A + MOR_A + MOR_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster, 
                               and dr recomendations and good wins and conf - goodwins/badwins interaction, updated rankings interact",0.553944937,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A + MOR_A + MOR_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster, 
                               and dr recomendations and good wins and conf - goodwins/badwins without interaction, updated rankings interact",0.559023859620021,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + MOR_A + MOR_B,5,"classification of OE, avg and sd rank, possessions, last 3 oe/de, free throws, avg_win_spread, and cluster, 
                               and dr recomendations and good wins and conf - goodwins/badwins without interaction, updated rankings interact",0.5575832794244183,kaggle
